order_item_id,order_id,product_id,quantity,unit_price,discount_amount
1,1,1,1,79.99,0.00
2,1,4,1,149.99,15.00
3,2,2,1,129.99,0.00
4,2,7,2,39.99,8.00
5,3,3,2,34.99,7.00
6,3,12,1,24.99,0.00
7,4,5,1,45.99,0.00
8,4,10,2,28.99,5.80
9,5,6,3,14.99,4.50
10,5,16,1,18.99,0.00
11,6,9,1,59.99,6.00
12,6,13,1,34.99,3.50
13,7,17,1,99.99,10.00
14,7,11,2,29.99,6.00
15,8,14,1,199.99,20.00
16,8,18,1,54.99,5.50
17,9,20,2,49.99,10.00
18,9,15,1,42.99,0.00
19,10,8,1,89.99,9.00
20,10,3,1,34.99,0.00
21,11,1,1,79.99,8.00
22,11,9,1,59.99,0.00
23,12,2,1,129.99,13.00
24,12,19,2,22.99,4.60
25,13,4,1,149.99,0.00
26,13,15,1,42.99,4.30
27,14,17,1,99.99,10.00
28,14,13,2,34.99,7.00
29,15,6,2,14.99,3.00
30,15,12,1,24.99,2.50
31,16,5,2,45.99,9.20
32,16,10,1,28.99,0.00
33,17,14,1,199.99,20.00
34,17,8,1,89.99,9.00
35,18,20,1,49.99,5.00
36,18,11,3,29.99,9.00
37,19,7,1,39.99,4.00
38,19,19,2,22.99,0.00
39,20,1,2,79.99,16.00
40,20,4,1,149.99,0.00
41,21,3,3,34.99,10.50
42,21,18,1,54.99,5.50
43,22,16,2,18.99,3.80
44,22,6,1,14.99,0.00
45,23,9,1,59.99,0.00
46,23,17,1,99.99,10.00
47,24,2,1,129.99,13.00
48,24,7,1,39.99,4.00
49,25,15,2,42.99,8.60
50,25,5,1,45.99,4.60
51,26,20,1,49.99,5.00
52,26,13,1,34.99,0.00
53,27,14,1,199.99,0.00
54,27,8,1,89.99,9.00
55,28,11,2,29.99,6.00
56,28,19,1,22.99,0.00
57,29,1,1,79.99,8.00
58,29,4,1,149.99,15.00
59,30,12,2,24.99,5.00
60,30,16,1,18.99,0.00
61,31,17,1,99.99,0.00
62,31,9,2,59.99,12.00
63,32,3,1,34.99,3.50
64,32,18,2,54.99,11.00
65,33,5,1,45.99,0.00
66,33,10,3,28.99,8.70
67,34,2,1,129.99,13.00
68,34,7,2,39.99,8.00
69,35,20,1,49.99,0.00
70,35,15,1,42.99,4.30
71,36,6,2,14.99,0.00
72,36,12,1,24.99,2.50
73,37,4,1,149.99,15.00
74,37,1,1,79.99,8.00
75,38,14,1,199.99,20.00
76,38,8,1,89.99,0.00
77,39,11,1,29.99,3.00
78,39,19,3,22.99,6.90
79,40,13,2,34.99,7.00
80,40,9,1,59.99,6.00
81,41,17,1,99.99,10.00
82,41,2,1,129.99,0.00
83,42,3,2,34.99,7.00
84,42,18,1,54.99,5.50
85,43,5,1,45.99,4.60
86,43,10,1,28.99,0.00
87,44,20,2,49.99,10.00
88,44,15,1,42.99,0.00
89,45,7,2,39.99,8.00
90,45,19,1,22.99,0.00
91,46,1,1,79.99,0.00
92,46,4,1,149.99,15.00
93,47,16,3,18.99,5.70
94,47,6,2,14.99,3.00
95,48,9,1,59.99,6.00
96,48,13,1,34.99,0.00
97,49,14,1,199.99,20.00
98,49,8,1,89.99,9.00
99,50,17,1,99.99,10.00
100,50,11,2,29.99,6.00
